Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-06-21 00:00:00,284.627,285.362,284.184,284.724,494.312,493.719,491.472,493.168,0.398,0.522,0.631,0.517,0.0,0.03,0.084,0.048,0.162,-0.1,-0.113,-0.168,-0.381,0.113,0.149,0.181,0.443,0.262,0.561,0.268,0.365,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.3,-1775.5,2368.4,4673.5,3077.1,10121.1,1.79,1.74,1.68,1.74,0.0,0.0,0.0,0.0,120.2,240.4,72.4,171.3,314.2
2024-06-21 00:01:00,284.888,285.662,284.435,284.995,494.862,494.261,491.856,493.66,0.394,0.52,0.631,0.515,0.0,0.029,0.089,0.052,0.17,-0.1,-0.112,-0.172,-0.384,0.112,0.151,0.185,0.449,0.259,0.59,0.281,0.38,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.3,-1775.5,2368.4,4673.5,3077.1,10121.1,1.72,1.69,1.64,1.68,0.0,0.0,0.0,0.0,120.3,240.4,73.4,172.0,314.5
2024-06-21 00:02:00,284.899,285.537,284.379,284.938,494.66,493.896,491.948,493.501,0.395,0.522,0.63,0.516,0.0,0.03,0.084,0.048,0.162,-0.1,-0.113,-0.168,-0.381,0.113,0.15,0.181,0.443,0.264,0.561,0.264,0.365,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.3,-1775.5,2368.4,4673.5,3077.1,10121.1,1.74,1.69,1.66,1.7,0.0,0.0,0.0,0.0,120.2,240.4,73.0,171.5,314.4
2024-06-21 00:03:00,284.821,285.534,284.261,284.872,494.735,493.884,491.601,493.406,0.396,0.521,0.619,0.512,0.0,0.03,0.089,0.051,0.17,-0.099,-0.112,-0.171,-0.383,0.112,0.152,0.183,0.448,0.266,0.586,0.279,0.38,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.3,-1775.5,2368.4,4673.5,3077.1,10121.2,1.72,1.7,1.64,1.69,0.0,0.0,0.0,0.0,120.3,240.4,72.2,172.0,314.0
2024-06-21 00:04:00,284.911,285.655,284.337,284.968,494.94,494.076,491.759,493.592,0.398,0.525,0.627,0.517,0.0,0.031,0.084,0.047,0.162,-0.1,-0.114,-0.167,-0.381,0.113,0.151,0.18,0.444,0.271,0.557,0.263,0.365,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.72,1.68,1.64,1.68,0.0,0.0,0.0,0.0,120.3,240.4,72.4,172.8,314.4
2024-06-21 00:05:00,284.417,285.275,283.994,284.562,494.13,493.45,491.089,492.889,0.4,0.524,0.623,0.516,0.0,0.03,0.09,0.053,0.174,-0.1,-0.112,-0.172,-0.384,0.114,0.152,0.183,0.449,0.268,0.592,0.289,0.386,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.72,1.72,1.61,1.68,0.0,0.0,0.0,0.0,120.2,240.4,72.9,172.3,314.0
2024-06-21 00:06:00,284.316,285.238,283.962,284.505,493.971,493.351,491.019,492.781,0.399,0.526,0.627,0.517,0.0,0.03,0.084,0.047,0.162,-0.1,-0.114,-0.167,-0.381,0.113,0.151,0.18,0.444,0.268,0.556,0.264,0.364,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.7,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.73,1.75,1.6,1.7,0.0,0.0,0.0,0.0,120.3,240.4,72.5,171.9,314.0
2024-06-21 00:07:00,284.553,285.451,284.189,284.731,494.368,493.791,491.364,493.174,0.395,0.622,0.798,0.605,0.0,0.029,0.086,0.049,0.163,-0.1,-0.113,-0.169,-0.381,0.112,0.149,0.179,0.44,0.256,0.574,0.273,0.371,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.8,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.73,1.74,1.59,1.69,0.0,0.0,0.0,0.0,120.3,240.4,73.3,178.6,315.1
2024-06-21 00:08:00,284.702,285.605,284.375,284.894,494.592,494.048,491.7,493.447,0.392,0.515,0.625,0.511,0.0,0.028,0.084,0.048,0.16,-0.1,-0.112,-0.169,-0.381,0.112,0.15,0.181,0.443,0.25,0.561,0.263,0.36,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.8,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.67,1.69,1.56,1.64,0.0,0.0,0.0,0.0,120.3,240.4,73.6,172.9,314.1
2024-06-21 00:09:00,284.462,285.404,284.12,284.662,494.293,493.631,491.256,493.06,0.388,0.573,0.718,0.56,0.0,0.028,0.084,0.046,0.158,-0.099,-0.114,-0.168,-0.38,0.111,0.15,0.178,0.439,0.256,0.558,0.257,0.359,1317.8,4574.1,1475.9,7370.1,0.0,8.7,3.9,12.6,7382.8,7357.6,1346.8,116.7,7.1,1470.9,313.5,567.1,2364.4,3246.8,4718.4,-1775.5,2368.4,4673.5,3077.1,10121.2,1.67,1.71,1.55,1.64,0.0,0.0,0.0,0.0,120.2,240.4,73.6,173.1,314.8
