Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-07-03 00:00:00,285.52,285.571,284.403,285.165,495.459,493.547,492.759,493.922,0.442,0.709,0.775,0.642,0.0,0.058,0.103,0.048,0.209,-0.097,-0.136,-0.169,-0.401,0.127,0.183,0.18,0.491,0.455,0.562,0.269,0.426,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,610.9,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.18,2.18,2.05,2.14,0.0,0.0,0.0,0.0,120.3,240.3,58.9,171.1,314.1
2024-07-03 00:01:00,285.321,285.327,284.148,284.932,495.044,493.138,492.33,493.504,0.404,0.536,0.631,0.524,0.0,0.032,0.087,0.049,0.168,-0.1,-0.114,-0.169,-0.382,0.116,0.155,0.183,0.454,0.274,0.564,0.268,0.371,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.24,2.22,2.11,2.19,0.0,0.0,0.0,0.0,120.3,240.3,72.2,164.0,307.3
2024-07-03 00:02:00,285.017,285.016,283.983,284.672,494.412,492.679,492.052,493.048,0.391,0.529,0.643,0.521,0.0,0.028,0.088,0.048,0.164,-0.098,-0.112,-0.172,-0.381,0.112,0.153,0.187,0.451,0.249,0.577,0.259,0.364,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.26,2.24,2.1,2.2,0.0,0.0,0.0,0.0,120.2,240.2,73.4,170.0,315.1
2024-07-03 00:03:00,285.24,285.204,284.13,284.858,494.769,492.918,492.372,493.353,0.392,0.531,0.643,0.522,0.0,0.028,0.089,0.049,0.165,-0.098,-0.112,-0.172,-0.382,0.112,0.153,0.187,0.452,0.248,0.58,0.26,0.366,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.26,2.23,2.08,2.19,0.0,0.0,0.0,0.0,120.3,240.2,73.7,170.5,314.9
2024-07-03 00:04:00,285.126,285.091,284.057,284.758,494.631,492.816,492.181,493.209,0.394,0.526,0.639,0.52,0.0,0.028,0.089,0.05,0.166,-0.099,-0.111,-0.172,-0.382,0.112,0.153,0.187,0.451,0.249,0.582,0.266,0.369,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.24,2.22,2.07,2.18,0.0,0.0,0.0,0.0,120.3,240.2,73.1,170.8,314.8
2024-07-03 00:05:00,284.945,284.913,283.925,284.594,494.3,492.528,491.972,492.933,0.393,0.63,0.81,0.611,0.0,0.028,0.088,0.049,0.165,-0.099,-0.111,-0.171,-0.381,0.112,0.151,0.183,0.446,0.248,0.587,0.268,0.371,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.25,2.24,2.06,2.18,0.0,0.0,0.0,0.0,120.3,240.3,73.7,170.3,315.3
2024-07-03 00:06:00,284.713,284.82,283.771,284.435,494.055,492.403,491.593,492.684,0.39,0.523,0.647,0.52,0.0,0.026,0.088,0.049,0.162,-0.099,-0.111,-0.172,-0.381,0.111,0.151,0.187,0.449,0.238,0.578,0.26,0.362,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.25,2.23,2.06,2.18,0.0,0.0,0.0,0.0,120.3,240.2,73.8,169.9,314.7
2024-07-03 00:07:00,284.897,285.013,283.925,284.612,494.32,492.642,491.891,492.951,0.388,0.52,0.641,0.517,0.0,0.026,0.091,0.051,0.167,-0.098,-0.11,-0.175,-0.382,0.11,0.15,0.185,0.446,0.234,0.606,0.274,0.376,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.3,3389.1,4862.8,-1915.8,2497.5,4820.0,3229.5,10549.2,2.25,2.23,2.06,2.18,0.0,0.0,0.0,0.0,120.3,240.3,73.7,170.0,315.2
2024-07-03 00:08:00,284.904,285.133,283.787,284.608,494.6,492.691,491.64,492.977,0.389,0.529,0.634,0.517,0.0,0.027,0.084,0.044,0.155,-0.098,-0.114,-0.169,-0.38,0.111,0.151,0.181,0.443,0.244,0.555,0.241,0.349,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.1,4862.9,-1915.8,2497.5,4820.0,3229.5,10549.2,2.28,2.24,2.08,2.2,0.0,0.0,0.0,0.0,120.3,240.3,74.0,170.9,316.1
2024-07-03 00:09:00,284.66,284.859,283.574,284.364,494.052,492.328,491.215,492.532,0.399,0.527,0.622,0.516,0.0,0.03,0.082,0.046,0.158,-0.1,-0.114,-0.166,-0.379,0.115,0.152,0.18,0.447,0.264,0.542,0.255,0.355,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.1,4862.9,-1915.8,2497.5,4820.0,3229.5,10549.2,2.25,2.24,2.1,2.2,0.0,0.0,0.0,0.0,120.3,240.3,72.5,171.2,314.8
2024-07-03 00:10:00,284.944,285.136,283.785,284.622,494.555,492.714,491.634,492.968,0.4,0.58,0.717,0.565,0.0,0.031,0.083,0.045,0.159,-0.099,-0.115,-0.166,-0.379,0.114,0.152,0.177,0.444,0.267,0.547,0.253,0.357,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.2,4862.9,-1915.8,2497.5,4820.0,3229.5,10549.2,2.27,2.28,2.12,2.22,0.0,0.0,0.0,0.0,120.3,240.3,72.5,171.7,314.4
2024-07-03 00:11:00,285.056,285.363,283.976,284.798,494.881,493.213,491.801,493.298,0.824,1.376,0.64,0.947,0.0,0.211,0.344,0.048,0.603,0.081,-0.18,-0.173,-0.272,0.235,0.396,0.187,0.819,0.898,0.867,0.257,0.737,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.2,4862.9,-1915.8,2497.5,4820.0,3229.5,10549.2,2.19,2.16,2.12,2.16,0.0,0.0,0.0,0.0,120.3,240.3,340.5,151.0,314.5
2024-07-03 00:12:00,285.056,285.31,283.957,284.774,494.741,493.109,491.833,493.228,0.777,1.338,0.644,0.92,0.0,0.194,0.33,0.045,0.569,0.08,-0.167,-0.171,-0.258,0.218,0.378,0.183,0.78,0.886,0.874,0.244,0.729,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.2,4862.9,-1915.8,2497.5,4820.0,3229.6,10549.3,2.2,2.18,2.14,2.17,0.0,0.0,0.0,0.0,120.3,240.4,343.6,141.5,315.3
2024-07-03 00:13:00,285.125,285.571,284.119,284.938,495.121,493.569,491.906,493.532,0.795,1.354,0.643,0.931,0.0,0.202,0.335,0.045,0.581,0.081,-0.174,-0.171,-0.265,0.226,0.386,0.184,0.796,0.892,0.868,0.243,0.731,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.2,4862.9,-1915.9,2497.5,4820.0,3229.6,10549.3,2.17,2.16,2.11,2.14,0.0,0.0,0.0,0.0,120.3,240.3,342.1,147.5,315.9
2024-07-03 00:14:00,285.272,285.583,284.232,285.029,495.21,493.628,492.181,493.673,0.821,1.521,0.815,1.052,0.0,0.209,0.342,0.047,0.598,0.082,-0.179,-0.173,-0.27,0.233,0.392,0.183,0.809,0.896,0.873,0.255,0.739,1403.4,4688.7,1566.9,7661.2,0.0,8.7,3.9,12.6,7673.9,7648.7,1348.9,116.7,7.1,1473.0,350.1,611.0,2426.4,3389.2,4862.9,-1915.9,2497.5,4820.0,3229.6,10549.3,2.15,2.14,2.09,2.13,0.0,0.0,0.0,0.0,120.3,240.3,336.9,144.5,314.7
