Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-06-26 00:00:00,284.166,284.419,283.393,283.992,493.197,491.745,490.811,491.918,0.392,0.528,0.647,0.523,0.0,0.028,0.087,0.049,0.164,-0.099,-0.112,-0.171,-0.382,0.112,0.15,0.183,0.445,0.25,0.579,0.265,0.367,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1853.9,2477.2,4790.8,3197.9,10468.1,2.13,2.11,1.94,2.06,0.0,0.0,0.0,0.0,120.2,240.2,73.2,170.5,315.0
2024-06-26 00:01:00,284.528,284.648,283.548,284.241,493.786,492.05,491.193,492.343,0.398,0.525,0.636,0.52,0.0,0.029,0.089,0.051,0.17,-0.1,-0.111,-0.171,-0.382,0.114,0.152,0.186,0.451,0.258,0.586,0.277,0.376,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1853.9,2477.2,4790.8,3197.9,10468.1,2.11,2.08,1.95,2.05,0.0,0.0,0.0,0.0,120.2,240.2,73.3,165.7,314.5
2024-06-26 00:02:00,284.73,284.811,283.816,284.452,493.949,492.374,491.678,492.667,0.409,0.525,0.626,0.52,0.0,0.032,0.086,0.051,0.169,-0.101,-0.113,-0.168,-0.381,0.116,0.152,0.183,0.451,0.276,0.566,0.277,0.374,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1853.9,2477.2,4790.8,3197.9,10468.1,2.1,2.08,1.96,2.05,0.0,0.0,0.0,0.0,120.3,240.3,72.1,183.1,313.2
2024-06-26 00:03:00,284.745,284.975,283.874,284.532,494.19,492.703,491.594,492.829,0.404,0.529,0.636,0.523,0.0,0.031,0.085,0.048,0.164,-0.1,-0.114,-0.167,-0.381,0.115,0.151,0.18,0.446,0.274,0.559,0.266,0.368,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1854.0,2477.2,4790.8,3197.9,10468.1,2.1,2.07,1.96,2.04,0.0,0.0,0.0,0.0,120.3,240.3,72.2,171.1,312.9
2024-06-26 00:04:00,284.817,284.803,283.815,284.478,494.138,492.329,491.744,492.737,0.407,0.625,0.804,0.612,0.0,0.032,0.086,0.05,0.168,-0.101,-0.113,-0.167,-0.381,0.116,0.151,0.179,0.446,0.277,0.569,0.28,0.377,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1854.0,2477.2,4790.8,3197.9,10468.1,2.09,2.06,1.94,2.03,0.0,0.0,0.0,0.0,120.3,240.3,71.7,171.6,313.3
2024-06-26 00:05:00,284.854,284.979,283.827,284.554,494.328,492.498,491.731,492.852,0.406,0.531,0.631,0.523,0.0,0.032,0.084,0.047,0.164,-0.1,-0.114,-0.166,-0.381,0.115,0.152,0.179,0.446,0.278,0.554,0.264,0.366,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1854.0,2477.2,4790.8,3197.9,10468.1,2.11,2.07,1.94,2.04,0.0,0.0,0.0,0.0,120.3,240.3,71.1,171.7,313.9
2024-06-26 00:06:00,284.738,284.978,283.706,284.474,494.279,492.497,491.369,492.715,0.403,0.536,0.633,0.524,0.0,0.032,0.089,0.05,0.17,-0.1,-0.114,-0.169,-0.383,0.115,0.154,0.183,0.452,0.279,0.574,0.271,0.377,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.0,4798.5,-1854.0,2477.2,4790.8,3197.9,10468.1,2.08,2.03,1.92,2.01,0.0,0.0,0.0,0.0,120.3,240.3,71.0,179.6,314.7
2024-06-26 00:07:00,284.813,284.979,283.749,284.514,494.411,492.496,491.516,492.808,0.404,0.586,0.726,0.572,0.0,0.033,0.086,0.048,0.167,-0.1,-0.115,-0.166,-0.381,0.115,0.152,0.178,0.445,0.285,0.564,0.271,0.375,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.1,4798.5,-1854.0,2477.2,4790.8,3198.0,10468.2,2.03,1.98,1.88,1.96,0.0,0.0,0.0,0.0,120.3,240.3,71.7,171.4,313.4
2024-06-26 00:08:00,284.794,285.045,283.755,284.531,494.387,492.599,491.484,492.823,0.397,0.532,0.629,0.519,0.0,0.03,0.087,0.048,0.166,-0.099,-0.113,-0.169,-0.381,0.113,0.153,0.181,0.447,0.269,0.571,0.266,0.371,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.1,4798.5,-1854.0,2477.2,4790.8,3198.0,10468.2,2.02,1.95,1.87,1.94,0.0,0.0,0.0,0.0,120.3,240.3,71.8,171.8,314.5
2024-06-26 00:09:00,285.055,285.296,284.066,284.806,494.755,493.166,491.991,493.304,0.397,0.553,0.701,0.551,0.0,0.031,0.088,0.049,0.168,-0.099,-0.113,-0.169,-0.381,0.113,0.151,0.178,0.443,0.271,0.581,0.275,0.379,1397.2,4668.6,1558.3,7626.3,0.0,8.7,3.9,12.6,7639.0,7613.8,1347.6,116.7,7.1,1471.7,335.3,591.6,2397.4,3326.1,4798.5,-1854.0,2477.2,4790.8,3198.0,10468.2,2.01,1.94,1.88,1.94,0.0,0.0,0.0,0.0,120.3,240.3,71.5,171.8,314.6
