Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-06-15 00:00:00,283.631,283.948,283.287,283.622,492.266,491.029,490.443,491.246,0.405,0.506,0.624,0.512,0.0,0.031,0.084,0.052,0.167,-0.102,-0.111,-0.167,-0.381,0.115,0.147,0.182,0.444,0.27,0.572,0.286,0.376,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.3,1.73,1.68,1.68,1.7,0.0,0.0,0.0,0.0,120.2,240.2,74.0,172.3,311.6
2024-06-15 00:01:00,283.283,283.52,283.022,283.275,491.593,490.482,489.913,490.662,0.41,0.511,0.634,0.518,0.0,0.031,0.083,0.051,0.165,-0.102,-0.111,-0.166,-0.38,0.116,0.145,0.179,0.44,0.269,0.571,0.287,0.376,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.3,1.73,1.69,1.7,1.71,0.0,0.0,0.0,0.0,120.2,240.1,73.9,172.0,311.4
2024-06-15 00:02:00,282.671,282.948,282.431,282.683,490.583,489.44,488.838,489.62,0.407,0.506,0.628,0.514,0.0,0.031,0.086,0.054,0.171,-0.102,-0.109,-0.168,-0.38,0.115,0.147,0.183,0.445,0.265,0.587,0.297,0.384,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.3,1.77,1.72,1.73,1.74,0.0,0.0,0.0,0.0,120.2,240.1,73.6,172.5,312.5
2024-06-15 00:03:00,282.773,283.074,282.489,282.779,490.772,489.642,489.033,489.816,0.411,0.514,0.632,0.519,0.0,0.032,0.082,0.051,0.165,-0.102,-0.112,-0.165,-0.379,0.116,0.146,0.178,0.44,0.274,0.565,0.284,0.374,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.4,1.78,1.74,1.75,1.76,0.0,0.0,0.0,0.0,120.2,240.1,72.8,172.6,311.2
2024-06-15 00:04:00,282.865,283.185,282.56,282.87,491.004,489.856,489.068,489.976,0.412,0.5,0.598,0.503,0.0,0.032,0.087,0.055,0.174,-0.102,-0.11,-0.169,-0.381,0.116,0.147,0.18,0.443,0.273,0.595,0.305,0.393,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.4,1.84,1.79,1.79,1.81,0.0,0.0,0.0,0.0,120.3,240.2,72.6,154.4,304.6
2024-06-15 00:05:00,282.886,283.189,282.577,282.884,490.993,489.79,489.194,489.992,0.409,0.506,0.623,0.513,0.0,0.03,0.081,0.05,0.161,-0.102,-0.111,-0.165,-0.379,0.115,0.145,0.179,0.438,0.264,0.56,0.278,0.367,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.8,3184.7,4650.4,-1719.4,2345.5,4637.1,3042.5,10027.4,1.81,1.77,1.77,1.78,0.0,0.0,0.0,0.0,120.2,240.1,73.0,172.5,311.6
2024-06-15 00:06:00,282.8,283.177,282.541,282.84,490.86,489.804,489.062,489.909,0.401,0.525,0.689,0.538,0.0,0.03,0.085,0.053,0.168,-0.102,-0.11,-0.168,-0.38,0.114,0.144,0.178,0.435,0.259,0.595,0.3,0.386,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.9,3184.7,4650.5,-1719.4,2345.5,4637.1,3042.5,10027.4,1.73,1.68,1.68,1.7,0.0,0.0,0.0,0.0,120.3,240.2,74.0,173.6,312.4
2024-06-15 00:07:00,282.609,282.893,282.333,282.612,490.363,489.345,488.706,489.471,0.404,0.506,0.622,0.511,0.0,0.029,0.081,0.049,0.16,-0.102,-0.111,-0.166,-0.379,0.114,0.145,0.179,0.437,0.259,0.562,0.276,0.366,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.9,3184.7,4650.5,-1719.4,2345.5,4637.1,3042.5,10027.4,1.71,1.67,1.68,1.69,0.0,0.0,0.0,0.0,120.2,240.2,73.9,173.2,312.1
2024-06-15 00:08:00,282.86,283.185,282.488,282.844,490.95,489.692,488.973,489.872,0.402,0.49,0.586,0.492,0.0,0.03,0.086,0.053,0.169,-0.102,-0.11,-0.169,-0.381,0.114,0.145,0.178,0.437,0.263,0.594,0.295,0.386,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.9,3184.7,4650.5,-1719.4,2345.5,4637.2,3042.5,10027.4,1.73,1.66,1.66,1.68,0.0,0.0,0.0,0.0,120.2,240.2,73.0,156.6,304.8
2024-06-15 00:09:00,282.872,283.215,282.648,282.911,491.001,489.923,489.167,490.03,0.401,0.506,0.625,0.51,0.0,0.029,0.081,0.049,0.16,-0.102,-0.111,-0.166,-0.379,0.113,0.145,0.179,0.437,0.257,0.563,0.275,0.366,1310.9,4544.8,1465.0,7322.9,0.0,8.7,3.9,12.6,7335.6,7310.4,1340.9,116.7,7.1,1465.0,299.7,550.5,2332.9,3184.7,4650.5,-1719.4,2345.5,4637.2,3042.5,10027.4,1.67,1.62,1.65,1.65,0.0,0.0,0.0,0.0,120.2,240.2,73.9,172.5,312.2
