Time,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,In,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EPa_EXP_kWh,EPb_EXP_kWh,EPc_EXP_kWh,EP_EXP_kWh,EP_TOTAL_kWh,EP_NET_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQa_EXP_kvarh,EQb_EXP_kvarh,EQc_EXP_kvarh,EQ_EXP_kvarh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic
2024-07-21 00:00:00,282.867,283.508,282.2,282.859,491.385,490.028,488.343,489.919,0.784,1.338,0.639,0.921,0.0,0.198,0.333,0.05,0.581,0.076,-0.169,-0.173,-0.267,0.22,0.38,0.185,0.784,0.901,0.877,0.271,0.741,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.5,116.7,7.1,1477.6,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.2,12270.1,2.15,2.0,2.12,2.09,0.0,0.0,0.0,0.0,120.3,240.4,340.2,148.0,314.4
2024-07-21 00:01:00,283.153,283.732,282.51,283.132,491.805,490.467,488.948,490.407,0.8,1.335,0.62,0.918,0.0,0.205,0.34,0.052,0.597,0.076,-0.175,-0.176,-0.275,0.227,0.386,0.184,0.797,0.903,0.881,0.281,0.749,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.2,12270.1,2.17,2.02,2.13,2.11,0.0,0.0,0.0,0.0,120.3,240.4,340.1,142.6,310.4
2024-07-21 00:02:00,283.206,283.809,282.584,283.2,491.934,490.616,489.023,490.524,0.826,1.376,0.638,0.946,0.0,0.211,0.336,0.046,0.593,0.078,-0.182,-0.17,-0.274,0.232,0.389,0.182,0.802,0.908,0.865,0.252,0.739,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.2,12270.1,2.19,2.02,2.15,2.12,0.0,0.0,0.0,0.0,120.3,240.3,337.2,150.6,313.7
2024-07-21 00:03:00,283.322,283.833,282.6,283.252,492.093,490.584,489.196,490.624,0.434,0.718,0.796,0.649,0.0,0.056,0.101,0.048,0.205,-0.096,-0.133,-0.167,-0.396,0.123,0.178,0.177,0.478,0.453,0.567,0.271,0.428,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.2,12270.1,2.18,2.02,2.14,2.11,0.0,0.0,0.0,0.0,120.3,240.3,60.1,171.0,313.8
2024-07-21 00:04:00,283.034,283.651,282.537,283.074,491.581,490.371,488.945,490.299,0.432,0.622,0.624,0.559,0.0,0.054,0.101,0.048,0.202,-0.095,-0.132,-0.168,-0.396,0.122,0.179,0.181,0.482,0.444,0.564,0.262,0.42,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.3,12270.1,2.24,2.11,2.13,2.16,0.0,0.0,0.0,0.0,120.3,240.3,61.7,172.0,314.2
2024-07-21 00:05:00,283.117,283.708,282.391,283.072,491.799,490.183,488.869,490.284,0.434,0.624,0.607,0.555,0.0,0.056,0.104,0.049,0.209,-0.095,-0.133,-0.17,-0.397,0.122,0.18,0.18,0.482,0.454,0.58,0.273,0.434,1819.7,5165.8,1987.6,8975.2,0.0,8.7,3.9,12.6,8987.9,8962.7,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.3,12270.1,2.24,2.09,2.09,2.14,0.0,0.0,0.0,0.0,120.3,240.3,60.4,171.1,314.8
2024-07-21 00:06:00,283.192,283.734,282.353,283.093,492.012,490.142,488.863,490.339,0.393,0.53,0.618,0.514,0.0,0.029,0.089,0.049,0.167,-0.097,-0.111,-0.169,-0.377,0.111,0.151,0.179,0.441,0.266,0.589,0.273,0.379,1819.7,5165.8,1987.6,8975.3,0.0,8.7,3.9,12.6,8988.0,8962.8,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.0,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.3,12270.1,2.25,2.09,2.09,2.14,0.0,0.0,0.0,0.0,120.3,240.3,72.0,164.7,312.9
2024-07-21 00:07:00,283.266,283.743,282.384,283.131,491.993,490.137,488.973,490.367,0.397,0.52,0.616,0.511,0.0,0.03,0.082,0.044,0.156,-0.098,-0.114,-0.164,-0.376,0.113,0.149,0.176,0.438,0.27,0.546,0.252,0.357,1819.7,5165.8,1987.6,8975.3,0.0,8.7,3.9,12.6,8988.0,8962.8,1353.6,116.7,7.1,1477.7,439.7,713.2,2560.1,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.3,12270.1,2.27,2.1,2.09,2.15,0.0,0.0,0.0,0.0,120.4,240.3,71.7,172.2,314.1
2024-07-21 00:08:00,283.168,283.677,282.251,283.032,491.905,490.019,488.746,490.223,0.395,0.524,0.617,0.512,0.0,0.03,0.084,0.045,0.159,-0.098,-0.113,-0.165,-0.376,0.112,0.151,0.178,0.441,0.271,0.555,0.255,0.361,1819.7,5165.8,1987.6,8975.3,0.0,8.7,3.9,12.6,8988.0,8962.8,1353.6,116.7,7.1,1477.7,439.8,713.2,2560.1,3714.7,5193.1,-2236.7,3044.8,5401.9,3821.3,12270.1,2.24,2.07,2.06,2.12,0.0,0.0,0.0,0.0,120.4,240.3,71.6,171.8,314.1
2024-07-21 00:09:00,283.279,283.757,282.325,283.12,492.097,490.076,488.919,490.364,0.395,0.624,0.788,0.603,0.0,0.03,0.085,0.046,0.161,-0.098,-0.113,-0.165,-0.376,0.112,0.149,0.175,0.436,0.27,0.568,0.265,0.37,1819.7,5165.8,1987.6,8975.3,0.0,8.7,3.9,12.6,8988.0,8962.8,1353.6,116.7,7.1,1477.7,439.8,713.2,2560.1,3714.7,5193.2,-2236.7,3044.8,5401.9,3821.3,12270.1,2.22,2.06,2.04,2.11,0.0,0.0,0.0,0.0,120.4,240.3,71.9,172.5,314.0
